,NAME,ZCTA,ZIP_TYPE,zip_join_type,PO_NAME,STATE,S1903_C03_015E,S1903_C03_034E
7702,ZCTA5 20006,20006,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,100357,31858
7703,ZCTA5 20006,20006,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,100357,31858
7704,ZCTA5 20006,20006,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,100357,31858
7705,ZCTA5 20006,20006,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,100357,31858
7706,ZCTA5 20006,20006,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,100357,31858
7707,ZCTA5 20006,20006,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,100357,31858
7708,ZCTA5 20006,20006,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,100357,31858
7709,ZCTA5 20006,20006,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,100357,31858
7710,ZCTA5 20006,20006,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,100357,31858
7711,ZCTA5 20006,20006,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,100357,31858
7712,ZCTA5 20007,20007,Zip Code Area,Zip matches ZCTA,Washington,DC,247672,92038
7713,ZCTA5 20007,20007,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,247672,92038
7714,ZCTA5 20007,20007,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,247672,92038
7715,ZCTA5 20007,20007,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,247672,92038
7716,ZCTA5 20008,20008,Zip Code Area,Zip matches ZCTA,Washington,DC,193125,82456
7717,ZCTA5 20009,20009,Zip Code Area,Zip matches ZCTA,Washington,DC,182083,105578
7718,ZCTA5 20009,20009,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,182083,105578
7719,ZCTA5 20009,20009,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,182083,105578
7720,ZCTA5 20009,20009,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,182083,105578
7721,ZCTA5 20009,20009,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,182083,105578
7722,ZCTA5 20009,20009,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,182083,105578
7723,ZCTA5 20009,20009,Post Office or large volume customer,Spatial join to ZCTA,Washington,DC,182083,105578
